name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Pets
"2bdrm Apartment in Allan Balogun Estate, Agungi for rent", 2300000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/2bdrm-apartment-in-allan-balogun-estate-agungi-for-rent-b6RrGt8LrBKIxsxrWrOuk8p6.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=0,"Lovely Built and finished 2bed flat, all Room Ensuite 
Location: Agungi 
Downstairs 
Rent: 2.3m Caution fees: 230k. Agreement :10%.
 Service changer: 400k.
Agency: 10 %
 Upstairs Rent #2.4 Agreement is 10%.
Agency is 10%.
Caution fees: 240. Service changer : 400k.
What the service changer entails 1, estate security, 2, lawman,3, gate man, 4, water treatment, 5, using a generator to pump water when there's no light, 6 buying tokens for the meter to pump water when there is light .",Allan Balogun,Allan Balogun Estate,"500
     
      sqm",Fairly Used,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=4&cur_pos=4&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=3,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,,"110
     
      sqm",Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,,,,
"Furnished 1bdrm Block of Flats in Rosun Court, Awoyaya for rent", 800000,"Ibeju, Awoyaya",https://jiji.ng/awoyaya/houses-apartments-for-rent/furnished-1bdrm-block-of-flats-in-rosun-court-awoyaya-for-rent-d4epr8KtpeRA7hFHwBDEk8to.html?page=1&pos=7&cur_pos=7&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=6,"Super standard, extra touch of luxury, extraordinarily finished mini flat in a fantastic super clean estate 
T/C apply","Rosun Court close , off unity estate road Gbetu",Rosun Court,"450
     
      sqm",Newly-Built,Furnished,Block of Flats,1 bedroom,2 bathrooms,100000,".Cleaning of compounds
disposal of waste bin
provision of water
payment of security",,,,,,,,,,,
"2bdrm Block of Flats in Isheri North Gra, Berger for rent", 1300000,"Ojodu, Berger",https://jiji.ng/berger/houses-apartments-for-rent/2bdrm-block-of-flats-in-isheri-north-gra-berger-for-rent-34IWeodz6XoDgSRj8t6GE4lN.html?page=1&pos=10&cur_pos=10&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=9,House is newly built and tastefully finished with modern fittings...,Road 10,Isheri North GRA,"400
     
      sqm",Newly-Built,Semi-Furnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Oke-Ira / Ogba for Rent, 1300000,"Ogba, Oke-Ira / Ogba",https://jiji.ng/ogba-oke-ira/houses-apartments-for-rent/3bdrm-apartment-in-oke-ira-ogba-for-rent-utpRhyeSCbCaIU5DKnwHahMp.html?page=1&pos=13&cur_pos=13&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=12,"To let:: 3Bedroom flat,all rooms ensuite with visitor's toilet (Upstairs) in a gated close at Okeira Ogba (decent neighborhood)... 1.5m per annual","oke ira, Ogba, Lagos State.",,"600
     
      sqm",Fairly Used,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"Furnished 1bdrm Block of Flats in Basorun Estate, Ijede / Ikorodu", 250000,"Ikorodu, Ijede / Ikorodu",https://jiji.ng/ikorodu-ijede/houses-apartments-for-rent/furnished-1bdrm-block-of-flats-in-basorun-estate-ijede-ikorodu-1f9kSgpHWRerpY6urWE76kgy.html?page=1&pos=16&cur_pos=16&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=15,The road to the apartment is very good and there is always a constant light there and the environment is very secure.,"No 20,Olawale street mowokekere ikorodu",Basorun Estate,"648
     
      sqm",Fairly Used,Furnished,Block of Flats,1 bedroom,1 bathroom,,,50000,50000,20000,120000,,,,,,,
"1bdrm Apartment in Budland, Ojodu for rent", 650000,Ojodu,https://jiji.ng/ojodu/houses-apartments-for-rent/1bdrm-apartment-in-budland-ojodu-for-rent-rCgpNSq5QGlirrDqY1fksWIg.html?page=1&pos=19&cur_pos=19&ads_per_page=21&ads_count=15812&lid=Xg7o-UQzyIZWjCuu&indexPosition=18,House is well built and tastefully finished with modern facilities...,Oppste Omole estate,Budland,"620
     
      sqm",Newly-Built,Semi-Furnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-fF1rZ9LD2xO2sIPVIjlYpJBW.html?page=2&pos=2&cur_pos=2&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=22,"Brand Newly Built Luxury 4bedrooms Terrace Duplex in a Secured Estate For Rent
 Location: Ikota GRA Lekki Lagos
Rent: 4M Per annum
Service Charges: 50k Monthly
*Note:* Power is Pay As you Go.
Agency: 10%
 Legal: 10%
 Caution deposit: 300k
 *Features:*
- Gated Estate
- 4bedroom
- Family lounge
- POP finishing
- All rooms en-suite 
- Fitted kitchen 
- Jacuzzi 
- Porcelain tiles 
- Kitchen store
- Wardrobe closet
- Bathtub
- CCTV
- Water heaters
- Showers
- clean borehole water
- Security house","Ikota, Lekki.",,"450
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,400000,400000,300000,1100000,,,,,,,
5bdrm Duplex in Lekki Ph1 Off for rent, 9500000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/5bdrm-duplex-in-lekki-ph1-off-for-rent-uD2q028zOy02bct0oGc5dWWh.html?page=2&pos=6&cur_pos=6&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=26,"5bedroom duplex Newly built detached house with boys quarter with at lekki ph1 off admiralty way, secured and serine environment",Lekki ph1,Lekki ph1 off admiralty,"690
     
      sqm",Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 3bdrm Apartment in 1004 Estate for rent, 8000000,"Victoria Island, 1004",https://jiji.ng/1004/houses-apartments-for-rent/furnished-3bdrm-apartment-in-1004-estate-for-rent-zLw576LkZ1BOlub6nO1mpJmm.html?page=2&pos=9&cur_pos=9&ads_per_page=23&ads_count=15810&lid=Xg7o-UQzyIZWjCuu&indexPosition=29,"Fully furnished 3 bedroom flat at block A1, 1004 flats estate VI rent
Price: #8,000,000
Enquiries080XXXXXXXX",Victoria island,1004 estate,"800
     
      sqm",Fairly Used,Furnished,Apartment,3 bedrooms,4 bathrooms,,,,,,,,,,,,,
