name,price,location,link,Description,Property Address,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Estate Name,Property Size,Subtype,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Housing Quality,Smoking,Parties
Mini Flat in Shomolu for rent, 900000,Shomolu,https://jiji.ng/shomolu/houses-apartments-for-rent/mini-flat-in-shomolu-for-rent-kUXLpUYC7DPe4Hno8iQcWqsZ.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=0,"Very decent newly built miniflat 500 1yr rent few units left
features
all electrical works fitted
painted 
borehole water present
balcony 
personal kitchen
personal toilet
all new amenities
fenced round with compound
gated
big rooms
for enquires and inspection call or send a whatsapp message
other cheaper apartments are also available roomself and miniflat",bariga,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,,,,,,,,,,,,,,,,,
5bdrm Duplex in Ikoyi for rent, 35000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-ikoyi-for-rent-B7H0G6wreRZCciXNZ0IVSgRU.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=3,"5bedroom duplex newly built apartment with swimming pool at old ikoyi in a good location, secured and quiet environment",Ikoyi,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,Ikoyi,"650
     
      sqm",,,,,,,,,,,,,,,,
Furnished 4bdrm Townhouse / Terrace in Agungi for rent, 5000000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-agungi-for-rent-49GPiT8J4DHJAEuOW8A4E0qL.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=6,"A stunning and luxurious tastefully furnished 4 bedroom Terrace for annual rental in Agungi with BQ.
The house is fully furnished 
Amenities:
Kitchenette 
Refrigerator 
Gas cooker 
Air condition 
En-suite rooms
Washing machine 
Tv
Security 
Rent: 5m/yearly
Caution: 500,000
Legal 10%
Agency 10%
4.5m rent if paying for 2 years.",Agungi lekki,Newly-Built,Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Agungi,"539
     
      sqm",Semi-Detached,,,,,,,,,,,,,,,
"Mini Flat in Popoola, Abule Egba for rent", 500000,Abule Egba,https://jiji.ng/lagos-abule-egba/houses-apartments-for-rent/mini-flat-in-popoola-abule-egba-for-rent-ku2LFlNdnRvl183mFWGEXWvn.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=9,"A newly renovated mini flat in a very serene environment and just 2-3 minutes walk to the main road 
Kv",Ekoro,Renovated,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,Popoola,"324
     
      sqm",,,,,,,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=12,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,"110
     
      sqm",,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,,,,,,
5bdrm Duplex in Igbo Efon Lekki for rent, 4700000,"Lekki, Igbo-efon",https://jiji.ng/igbo-efon/houses-apartments-for-rent/5bdrm-duplex-in-igbo-efon-lekki-for-rent-Bzlay8MkPHHtR0tgo67XXIlk.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=15,"5bedroom duplex newly built detached house with boys quarter at Igbo efon lekki, secured and quiet environment",Igbo efon lekki,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,Igbo efon lekki,"580
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-rVOQMRIe1T1G36So4MGr1xcS.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=18,"*4BEDROOM TERRACE WITH BQ FOR RENT* 
*LOCATION: OSAPA* 
Rental Value: 6Million Naira
Agency @ 10% 
Legal @ 10%: 
Caution fee: 
Service charge: per month (Paid to the Estate Management)
*Features:*
 Fully serviced 
 All rooms En-suite 
 Ample parking space 
 Serene Environment 
 Accessible Road
Swimming pool 
Gym 
Lounge / Sit out Area 
*Note: 24hrs Inspection Notice.*
Pictures .",Osapa,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,"600
     
      sqm",Semi-Detached,,,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Lekki for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-for-rent-8c4tkQykJS1zG8q9wuQWARwA.html?page=2&pos=2&cur_pos=2&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=21,"Fully furnished luxury 4bedrooms semi detached duplex with bq for rent
*note:** comes only with your clothes
location: dpkay estate orchid roundabout lekki lagos.
rent: n6m per annum
agency: 10%
legal: 10%
caution is 10%
service charges: paid to estate management.
*note:* client comes with generator.
 *description:*
fully furnished
fully fitted kitchen
all round pop
well tiled floors
surrounding cctv 
constant electricity and water
central transformer
industrial borehole with treated clean water
surrounding electric fence
tastefully furnished apartment","Orchid, Lekki.",Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Duplex in Old Ikoyi for rent, 22000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-old-ikoyi-for-rent-ffw4lMPtHTMUSzPrC5wrqgAE.html?page=2&pos=5&cur_pos=5&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=24,"5bedroom duplex new house detached house with swimming pool and boys quarter at old ikoyi, seured and quiet environment",Old Ikoyi,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,Old Ikoyi,"580
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Oniru/Vi, Victoria Island for rent", 7000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-oniru-vi-victoria-island-for-rent-jKWq2q4AH5PKEHQSkBuLD8dx.html?page=2&pos=8&cur_pos=8&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=27,"* clean 3bedroom terrace with bq at oniru
* only 2 units in a compound 
* self serviced apartment 
* prepaid metre available 
* clean water running 
* regular electricity supply",oniru,Renovated,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,oniru/VI,"400
     
      sqm",Semi-Detached,0,"Self serviced 
only 2 units in a compound",700000,700000,500000,1900000,,,,,,,,,
4bdrm Duplex in Ikota for rent, 6000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-8RsAd78iXdWCjBcPtZMXSggA.html?page=2&pos=11&cur_pos=11&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=30,"Newly built 4 bedroom semi detached duplex with a bq for rent
location: ikota, lekki  
features:
-all rooms ensuite
-cctv
-jacuzzi
-fitted kitchen
-pop ceiling
-wardrobe
-water treatment
-walk-in closet
-water heater
-heat extractor
-ample parking space
note: there is an inspection fee of only refundable once payment is made for the property.
inquiries ii inspection ii purchase ii call",Ikota,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"300
     
      sqm",,,,,,,,,,,,,,,,
