name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished
"2bdrm Bungalow in Good Home Estate, Ado / Ajah for rent", 900000,"Ajah, Ado / Ajah",https://jiji.ng/ado-ajah/houses-apartments-for-rent/2bdrm-bungalow-in-good-home-estate-ado-ajah-for-rent-8ah2GIDcqMIkn2wahdbnYCVS.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=0,"Standard Self Serviced 2Bed Flat En-suite with 2 Toilets, in a secured Estate 
Location: Good Home Estate",Good Home Estate,Good Home Estate,500sqm,Fairly Used,Semi-Furnished,Bungalow,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Pinnock Beach Estate for rent, 18000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/5bdrm-duplex-in-pinnock-beach-estate-for-rent-3H8fsfC2LfLreBqjnH8xXEwM.html?page=1&pos=4&cur_pos=4&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=3,"FOR RENT!
Luxury 5bedroom detached duplex with swimming pool and cinemaPinnock beach Estate Osapa,Lekki
N18M",Luxury 5bedroom duplex with swimming pool & cinema at Osapa,Pinnock beach Estate osapa London lekki lagos,600sqm,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=7&cur_pos=7&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=6,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,,110sqm,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 3800000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-z5n2JLAyMetnkbojLGwoVm7W.html?page=1&pos=10&cur_pos=10&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=9,"*brand new 4bedroom terrace duplex at lekki conservation road
agency
legal 10%
caution fee 10%",Lekki,Lekki,600sqm,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,2 bathrooms,,,500000,380000,380000,1260000,,,,,,,
"2bdrm Apartment in Ikate, Lekki for rent", 5500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/2bdrm-apartment-in-ikate-lekki-for-rent-qaVonac6Cn4X0RUClPnYAtxx.html?page=1&pos=13&cur_pos=13&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=12,"2 BEDROOM APARTMENT FOR RENT
Rent:
Front unit 2 Bedroom 6M
Back unit 2 Bedroom 5.5M
( Shortlet Allowed)
Location: Ikate, Lekki Lagos 
Other Charges
Agency 10%
Legal 5%
Caution 1M
Service Charge: 1M ( Diesel Inclusive)
Fully Serviced | Interlocked floor | 24 Hours Electricity | 24 Hours Security |Water Heater | Secure Environment | Fully Fitted Kitchen | Walk in Shower | Balcony |",Ikate,Ikate,1500sqm,Newly-Built,Unfurnished,Apartment,2 bedrooms,3 bathrooms,1000000,,550000,225000,550000,1325000,,,,,,,
1bdrm Bedsitter in Ogudu for rent, 2000000,"Ogudu, Ogudu GRA",https://jiji.ng/ogudu-gra/houses-apartments-for-rent/1bdrm-bedsitter-in-ogudu-for-rent-n9dm5pFFyc4wmnOHi0AStQ3K.html?page=1&pos=16&cur_pos=16&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=15,Spacious mini flat at Ogudu GRA 2m per annum,Ogudu,Ogudu,300sqm,Newly-Built,Semi-Furnished,Bedsitter,1 bedroom,2 bathrooms,,,,,,,,,,,,,
"3bdrm Apartment in Araromi, Gbagada for rent", 2800000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/3bdrm-apartment-in-araromi-gbagada-for-rent-5H48CZFRys15dkRpbTRQiTvx.html?page=1&pos=19&cur_pos=19&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=18,"2 units tastefully renovated 3 bedrooms ground flats 2t 2b all tiled with kitchen cabinets, wardrobes water heater, cubicle shower n ample parking in a block of 4:@ Sawmill Gbagada
*2.8M",Sawmill Gbagada,Araromi,300sqm,Newly-Built,Semi-Furnished,Apartment,3 bedrooms,2 bathrooms,,,,,,,,,,,,,
Mini Flat in Ikorodu for rent, 200000,Ikorodu,https://jiji.ng/ikorodu/houses-apartments-for-rent/mini-flat-in-ikorodu-for-rent-2Xwc2dHjgBGfIAHmMnnM8gD3.html?page=1&pos=22&cur_pos=22&ads_per_page=22&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=21,"Mini flat for rent at Oke Eletu,Ijede road Ikorodu",Oke Eletu(Abule eko),,600sqm,Renovated,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,,,,,,,,,,,,
4bdrm Duplex in Lagos State for rent, 5500000,Lagos State,https://jiji.ng/lagos/houses-apartments-for-rent/4bdrm-duplex-in-lagos-state-for-rent-r98TwDTPJlXpkKjf4psVXsA7.html?page=2&pos=5&cur_pos=5&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=26,"For Rent!!
4 Bedroom Semi Detached Duplex with Bq
Location : Buena Vista Estate, Orchid, Lekki, Lagos.
Price: 5.5 Million Naira 
Caution: 300 Thousand Naira
Agency and Legal: 10% each
________________________________
Features
- Fitted Kitchen 
- Fully Serviced Estate 
- Brand New
- POP Ceilings 
- Water Treatment
- 24/7 Security
Etc","Buena Vista Estate, Orchid, Lekki",,1000sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Chevron, Lekki for rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-ajWofzr8aBDrhsICCui44mUU.html?page=2&pos=8&cur_pos=8&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=29,"A newly built 3 unit of 4 bedroom terrace duplex at Nature View Gardens, beside Simify Court phase 5, directly on Conservation road, Chevron, Lekki, Lagos 
Rent N4m
Legal fee: 10%
Legal 10%
Caution 10%","conservation road, Chevron",Chevron,600sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,400000,4000000,400000,4800000,,,,,,,
